,rank,School,Location,MedianVCE Score,VCE40+%
524,525,Manor Lakes P-12 College,Wyndham Vale,23,0.2
525,526,Carrum Downs Secondary College,Carrum Downs,23,0
526,527,Chisholm Institute of TAFE Dandenong,Dandenong,23,0
527,528,Chisholm Institute of TAFE Frankston,Frankston,23,0
528,529,Glenroy Secondary College,Glenroy,23,0
529,530,The Grange P-12 College,Hoppers Crossing,22,1.6
530,531,Craigieburn Secondary College,Craigieburn,22,1.4
531,532,Ballarat Christian College,Sebastopol,22,0
532,533,Laverton P-12 College,Laverton,22,0
533,534,East Preston Islamic College,Preston East,21,2.2
534,535,Stotts Colleges Melbourne,Melbourne,21,0
535,536,John Fawkner College,Fawkner,20,0
536,537,Victoria University Polytechnic,Footscray,20,0
537,538,Ozford College,Melbourne,19,1.5
538,539,Adass Israel School Elsternwick,Elsternwick,0,0
539,540,Adass Israel School St Kilda East,St Kilda East,0,0
540,541,Advance College of Education,Rosebud,0,0
541,542,Albury Wodonga Community College,Wodonga,0,0
